h,1,
1,0
2,0
3,0
4,0
5,0.092
6,0.3
7,0.489
8,0.624
9,0.693
10,0.687
11,0.666
12,0.579
13,0.399
14,0.209
15,0.078
16,0.004
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0.11
30,0.325
31,0.516
32,0.644
33,0.697
34,0.687
35,0.637
36,0.521
37,0.413
38,0.271
39,0.127
40,0.011
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0.122
54,0.342
55,0.519
56,0.642
57,0.716
58,0.722
59,0.666
60,0.55
61,0.419
62,0.256
63,0.117
64,0.01
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0.127
78,0.346
79,0.524
80,0.65
81,0.725
82,0.756
83,0.739
84,0.675
85,0.563
86,0.378
87,0.15
88,0.01
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0.061
102,0.219
103,0.401
104,0.557
105,0.642
106,0.682
107,0.662
108,0.589
109,0.457
110,0.315
111,0.14
112,0.013
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0.099
126,0.28
127,0.434
128,0.55
129,0.623
130,0.651
131,0.62
132,0.559
133,0.448
134,0.301
135,0.129
136,0.01
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0.123
150,0.347
151,0.527
152,0.644
153,0.698
154,0.68
155,0.607
156,0.571
157,0.416
158,0.26
159,0.094
160,0.006
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0.041
174,0.179
175,0.371
176,0.568
177,0.688
178,0.726
179,0.694
180,0.588
181,0.401
182,0.189
183,0.069
184,0.004
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0.087
198,0.299
199,0.49
200,0.614
201,0.686
202,0.71
203,0.671
204,0.521
205,0.362
206,0.192
207,0.073
208,0.004
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0.1
222,0.319
223,0.505
224,0.642
