,WT1
164,42.47689395
165,62.51418743
166,61.71055266
167,49.49530423
168,39.47665749
169,39.31593054
170,49.60245553
171,55.22789889
172,47.72730775
173,34.0303505
174,12.56182177
175,0.859438191
176,3.593026446
177,25.9174662
178,52.28123808
179,63.15709524
180,75.05088977
181,84.33948879
182,77.89039927
183,60.96049355
184,45.69143301
185,44.78064694
186,36.74740137
187,31.73425117
188,51.90620853
189,63.15709524
190,60.58546399
191,44.19131478
192,21.89929237
193,4.952098573
194,0
195,0
196,0
197,2.434726338
198,9.369082985
199,10.21850306
200,10.51193909
201,0.735886179
202,3.793798465
203,27.6395407
204,55.44220149
205,58.12098405
206,50.83469551
207,49.97748509
208,56.67444147
209,59.51395097
210,53.94208327
211,23.81270848
212,24.84595318
213,26.68283264
214,26.30014942
215,27.2951258
216,29.78256674
217,28.55798043
218,26.98897922
219,23.00907372
220,15.58501922
221,9.291862978
222,8.797654932
223,14.70484781
224,40.33386791
225,68.08605514
226,120.3909817
227,135.0265649
228,117.2488791
229,90.21025943
230,72.47925852
231,61.49625006
232,53.45990241
233,50.94184681
234,48.79882077
235,23.27695197
236,39.36950619
237,61.97843092
238,74.99731412
239,73.97937675
240,63.8535787
241,45.31640345
242,26.606296
243,11.08336715
244,8.751322928
245,11.19147516
246,19.71799801
247,19.33531479
248,17.61324029
249,40.38744356
250,69.69332467
251,62.62133873
252,50.78111986
253,35.63762003
254,24.8842215
255,15.69982418
256,11.05247914
257,11.758187
258,14.97272606
259,12.40874848
260,60.96049355
261,118.9026173
262,138.7474758
263,119.233365
264,76.39028104
265,37.62757278
266,17.88111855
267,8.442442899
268,2.465614341
269,0
270,0
271,8.210782877
272,40.28029226
273,101.6210531
274,156.1331344
275,151.978288
276,123.1196498
277,85.1663579
278,57.63880319
279,39.23484231
280,32.27000768
281,33.53286231
282,37.62757278
283,21.47834083
284,51.10257376
285,97.65208136
286,134.9438779
287,130.5614717
288,108.6494404
289,74.08652805
290,48.53094251
291,32.27000768
292,20.75124271
293,12.40874848
294,11.71991868
295,18.72302163
296,43.86986087
297,114.1894634
298,154.0557112
299,117.4969399
300,92.93892747
301,73.22931763
302,61.17479615
303,52.38838939
304,46.01288691
305,43.28052871
306,40.2267166
307,15.92943412
308,35.48454674
309,64.92509173
310,93.43504893
311,104.0189735
312,81.52813384
313,57.96025709
314,33.95381385
315,13.02104163
316,3.716578457
317,0
318,0
319,0
320,0
321,3.361366424
322,70.01477857
323,107.9052583
324,96.82521226
325,76.44385669
326,66.1573317
327,59.99613183
328,59.83540488
329,68.83611425
330,79.79170872
331,51.10257376
